step,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,action_vx,action_vy,action_vz,action_yaw_rate,nearest_obs_dist
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.22805871069431305,0.06583742052316666,-0.04951416701078415,-0.23656176030635834,2.826381921504409
1,-5.699884337055883e-05,4.2522620365314305e-05,0.9989545665742124,-0.004263233854432248,0.0027988069687905895,-0.03556673366044169,-0.01702241883035228,-0.038341836586989975,-0.004420485028712863,0.609287440776825,0.9615364074707031,1.0,-0.4428868591785431,2.8263112619131032
2,-0.0010010086045739218,0.0005565486816125876,0.9992288882969739,-0.035159829717596944,0.0206190932045761,0.06985499019818898,-0.05449009235212407,-0.05567366230367634,-0.019341210381633722,0.07091569900512695,1.2581604719161987,0.7806482911109924,-0.43146559596061707,2.8252712293158164
3,-0.0036423711269836325,0.002915723990991921,1.0088001315761932,-0.06411111651504622,0.07712985888659833,0.3072809918527141,-0.11422448540664855,-0.022319373596337358,-0.04124880857749854,0.8407881855964661,1.3253839015960693,0.5006880760192871,-0.49339377880096436,2.8217307961641076
4,-0.006998950732732324,0.00933902015968539,1.0306094518388331,-0.06405635039057686,0.17653340722053518,0.5207078007214822,-0.19492834322919575,0.026492875821758462,-0.07522306024287868,-0.19418247044086456,1.4999945163726807,-0.9999725818634033,0.04802731052041054,2.814887699701507
5,-0.00944319683755027,0.021114316884336667,1.0570961617540433,-0.03396415090680653,0.2845376764352184,0.4981613357736806,-0.31864613505678624,0.060564713231249165,-0.11479685506627411,-0.6205220222473145,1.456505537033081,-0.4726772606372833,0.010987386107444763,2.805058062734669
6,-0.010277741116930122,0.038357941846882314,1.0772257514499861,-0.003334036144100024,0.3983386300648138,0.3064536178681225,-0.477809955375012,0.03570020893623465,-0.11815053200473864,-0.6284084916114807,1.4999749660491943,0.21517685055732727,0.31470975279808044,2.79270566463038
7,-0.009599805897603952,0.06406589082731877,1.089629552851955,0.025923288541996676,0.6436401982990227,0.23290323707344446,-0.6030445882695349,-0.05170452494066441,-0.100153358656616,0.8878684043884277,1.4907684326171875,-0.9100250005722046,-0.7560445070266724,2.7757981456422685
8,-0.008343817776700683,0.10428180185107754,1.099322540099051,0.018720048954307126,0.9299449647214082,0.13838701041619053,-0.6530914728816936,-0.13687269831116503,-0.07464849153110115,-0.22639606893062592,1.4980103969573975,0.8672144412994385,0.5428308248519897,2.7497473449480205
9,-0.008521472170161835,0.15959874383386893,1.104387862168524,-0.029188958510137922,1.2744194178087724,0.09591433767755257,-0.6321848644116225,-0.1619476336031872,-0.039188828390471386,0.49260592460632324,1.4957897663116455,0.20491479337215424,-0.8878711462020874,2.712998798775854
10,-0.011789902148150965,0.23275851862198674,1.1092979680843236,-0.09531158166500885,1.609625494174989,0.0980938389496341,-0.5249015458618906,-0.12610622359698506,-0.01115736270604524,-0.4061756134033203,1.455524206161499,0.13987034559249878,-0.5918561220169067,2.6629787336647626
11,-0.017943987802145577,0.3197556886551317,1.11340486380991,-0.1450229988628426,1.8391171646189852,0.07424687276128168,-0.3786987377528079,-0.0956657673358302,-0.0005374998558760102,0.4101208448410034,1.4945073127746582,0.2880924940109253,0.6071141958236694,2.6030419153221973
12,-0.026562621051386806,0.41708439661373226,1.1194277049322607,-0.19373419565071812,2.0290608009144933,0.17364420833979016,-0.24792009014985236,-0.05718345882553612,-0.0008711112152586504,0.5216459631919861,1.4998087882995605,0.7866582274436951,-0.46682238578796387,2.5363257581868743
13,-0.036969521499927334,0.5222634809723579,1.1329843542225861,-0.2137322313956578,2.1582873367299453,0.3756887862809187,-0.13538886985051493,0.015510854666122292,0.0088493790640678,0.8496724367141724,1.4822605848312378,-0.9982873797416687,-0.14353057742118835,2.465464277966095
14,-0.04707540582327326,0.6316812107690313,1.1547403640021097,-0.1853378400609986,2.199862603483641,0.43973554993468306,-0.020073170108321606,0.1330724035146574,0.038441960300657205,-0.34650835394859314,1.4598115682601929,-0.08722227066755295,0.10225550085306168,2.394832417893672
15,-0.05468956537370983,0.7413043362716476,1.1734106477454112,-0.12104057462062578,2.1802195760736893,0.2945713291898603,0.12413999212742897,0.2511568413099967,0.12120515434498161,0.00732797384262085,1.4690639972686768,-0.4723862111568451,0.7281085252761841,2.328978826742542
16,-0.058782008371269644,0.8491376538751417,1.1814829148888446,-0.04865298958038484,2.1342241092291165,0.0373967529441907,0.2649813154491126,0.3037222265105885,0.2161355442150697,1.0043468475341797,1.4419100284576416,-0.28706324100494385,0.007572118192911148,2.2701708853872393
17,-0.05879104938484852,0.95400407913547,1.176368995550013,0.05215090914162092,2.0567448686181473,-0.19757809832986106,0.3741883234678934,0.30620034432691867,0.2951916536680007,0.8986986875534058,1.244251012802124,-0.2923685908317566,-0.7760062217712402,2.2197062091432462
18,-0.051959934815002884,1.0533827397362339,1.1632552529942441,0.21484656389170545,1.9224386661208084,-0.3014919546674798,0.4107610204388505,0.2791986378639661,0.35500834654866015,-0.8956972360610962,1.4046969413757324,-0.8838284015655518,0.07318111509084702,2.18129534462575
19,-0.0374355161669373,1.1463059121533539,1.1440334459394341,0.3418410911019748,1.8142780744735554,-0.4803826952233956,0.37582376897605696,0.2338493598721213,0.39322589819992626,0.9793462157249451,1.490984559059143,-0.974604070186615,0.06457170099020004,2.15606037638051
20,-0.01812108638541333,1.2350146816012793,1.113270376085713,0.41979525767427467,1.7435317205162693,-0.7312260665168324,0.2896919980346935,0.17715094270814435,0.41230278641600354,-1.4695720672607422,1.4786800146102905,-0.995796263217926,-1.4820783138275146,2.1402870927848032
21,0.0043618572271396025,1.3208274123870203,1.0693449250266038,0.4722924692995142,1.6960889629023967,-1.0040254737405723,0.1947456104739456,0.14717402899244297,0.41158602463675353,-0.05604828894138336,1.4981563091278076,0.9945969581604004,-0.24316799640655518,2.1318445568732964
22,0.029830394404632487,1.4043395674457175,1.0163308539425122,0.5430677932662988,1.6490696395919926,-1.0547806207275836,0.08136802623231218,0.07512200721437022,0.41155775501574643,0.3723679780960083,1.4682958126068115,0.08707284927368164,0.559146523475647,2.130237534998943
23,0.0582350347682789,1.4859146323676615,0.9682214569634799,0.5806306669154881,1.620346804163777,-0.8624209620122488,0.01039342711166761,0.011058477961916946,0.413854021542424,-0.4534379839897156,1.49998939037323,-0.2237846404314041,0.8359013795852661,2.1351916962028095
24,0.08719984382254223,1.5667425535558523,0.9323581473076248,0.5710270222997135,1.6174458697292038,-0.5873845588758368,-0.0457413769049076,-0.03366113205360091,0.4270527323704153,0.22976058721542358,1.4666111469268799,0.10961437970399857,-0.6040568351745605,2.143991274727433
25,0.1143671086186193,1.648043373702491,0.9110570334008381,0.5148532283534849,1.6353353086796536,-0.2889690505906564,-0.07485821974097004,-0.057833208595125044,0.43920804585154344,0.10443131625652313,1.499422311782837,-0.26159319281578064,-0.1042647436261177,2.153994220503768
26,0.1385443445166742,1.7303571676924352,0.899953968054185,0.45907837506976196,1.6548184579444267,-0.21972122687199516,-0.11798882015285385,-0.08537525553448173,0.44536924452088267,1.4947847127914429,1.4987679719924927,0.41576775908470154,0.06937834620475769,2.163911920441829
27,0.15951653139703317,1.8139268294028403,0.8898304053447428,0.3803828897793074,1.6893466326516473,-0.1560464147154224,-0.13105019372901536,-0.08010836623726574,0.4524828334341319,0.4011140465736389,1.4999918937683105,0.43936243653297424,1.032326340675354,2.1735174919422686
28,0.1763376930742262,1.899680771224628,0.8873154450375457,0.30405603682140403,1.7375402300908878,0.054577438838949124,-0.10078917386232317,-0.02795587503821991,0.4671970849203315,0.5341848134994507,1.497151255607605,0.33671289682388306,-0.6974080801010132,2.1818440617610104
29,0.1903800012680129,1.9877787698531244,0.8964776970967543,0.2696473272587485,1.7797622963315651,0.2704614341152845,-0.0584627940450303,0.03154306699029661,0.4828186932056602,-0.8601748943328857,1.467037320137024,0.44432637095451355,-0.7094884514808655,2.1904143639084714
30,0.20403994445902,2.0776231171193458,0.9147208213696165,0.28011364140196854,1.8090295665918195,0.4347675309899592,-0.02741525185299541,0.05310958602103298,0.4836296056966103,1.144627571105957,1.4867662191390991,0.3344138562679291,-1.45035719871521,2.2018326957225813
31,0.218539642113088,2.1684313269529567,0.936836239968894,0.3003378328426769,1.8206740862856878,0.4351692466672817,0.0007460017938399624,0.08444413022562328,0.4719891934915213,1.0237767696380615,1.4086989164352417,-0.7705864310264587,0.33678215742111206,2.217442435649747
32,0.2345163739344609,2.2595396010408435,0.9560360268516711,0.3389667563632698,1.8212421742364693,0.3170129992009167,0.08033785711345506,0.1692224040195745,0.4895508970209226,1.4145712852478027,1.3563976287841797,-0.29370591044425964,0.2054217904806137,2.23787622135318
33,0.25318224998034133,2.3503111889054966,0.966377810347439,0.408443202811319,1.8087015284326993,0.10574451808073482,0.23063288471214802,0.29468453724809135,0.5922218114231608,-0.8166921734809875,1.4971487522125244,-0.5922026038169861,-0.5667153596878052,2.2642166753849704
34,0.27631708500652297,2.440250655333807,0.9647335296975108,0.5120393009692595,1.791110867379805,-0.1601109738166737,0.3855006041944993,0.42544361151260196,0.7542264500087085,0.5100261569023132,1.4994755983352661,0.6579951643943787,-0.5485769510269165,2.273524593860218
35,0.30695072116881866,2.529537823917025,0.9508949848272058,0.7251333581126287,1.7843341523467688,-0.3490365005055335,0.4689415591665813,0.52002048410195,0.8612727311504406,0.15000492334365845,1.2227681875228882,-0.49808749556541443,0.06283865869045258,2.1940884168260326
36,0.3494280912111049,2.6189969316888653,0.9279071553520315,0.9363275030265152,1.7945192106978072,-0.5773557940158303,0.45508028298247494,0.5624984546986354,0.9043295392925503,1.430469036102295,1.4962189197540283,-0.9564968347549438,-1.473012924194336,2.1061769206291254
37,0.40064905864480826,2.709279668766337,0.8914010171007178,1.1008044148770026,1.8184714577335939,-0.853143876387227,0.3854308503010187,0.5469228295290864,0.9428100870608768,-0.9727669954299927,1.4980555772781372,0.9457753300666809,-1.493351936340332,2.011620244277154
38,0.46184435380921784,2.801989503973741,0.8448978073442306,1.3460287927731003,1.8982084348022017,-0.948069955591695,0.2373948651370688,0.47441652614480123,0.941949937814258,-0.2034676969051361,1.3940777778625488,-0.7423189878463745,-0.9912257194519043,1.908342911437924
39,0.5351556779798964,2.8998217373858424,0.7976775204811293,1.5439751928567091,1.998811726267881,-0.9569862792928788,0.10539994747782169,0.32357885935529745,0.9226578197469034,-0.01876102015376091,1.4774489402770996,0.207293301820755,-1.264686942100525,1.7929756070658398
40,0.6157233459843829,3.002079910040558,0.7523022696434373,1.6587720290464987,2.0825652412072517,-0.8233130360499327,0.008885810946526487,0.14781966400478433,0.882753625721181,-1.4704355001449585,1.495834469795227,-0.1893327534198761,0.16630741953849792,1.6700003707689135
41,0.6997829256303333,3.107723728520527,0.7188299966628905,1.6852431721708432,2.1314119927880366,-0.5304208715179052,-0.048484911498457,0.017288734610532926,0.8375375566522839,-1.1331233978271484,1.4935394525527954,0.43052399158477783,-1.2081316709518433,1.5433693249846179
42,0.7826862637207701,3.214592867406719,0.7006702976515189,1.6230387546719824,2.1367261114193905,-0.21841196526953685,-0.0839117349545418,-0.08334013018870506,0.793240818186501,-1.28510582447052,1.499926209449768,0.46428754925727844,-0.40670254826545715,1.4185570629305144
43,0.860558111368063,3.3208481795332956,0.6983910469005293,1.4932002486143579,2.1117298416089736,0.10014279959417169,-0.10657224852329332,-0.15574353917552247,0.7517756990220379,-1.412880539894104,1.488560438156128,0.022431382909417152,-1.382330060005188,1.3003934133232151
44,0.9314673676729732,3.42546256045249,0.7071373558529905,1.3587873592993078,2.0754744532477285,0.18417462428875644,-0.1431697179035463,-0.24881651730478194,0.7277100946619305,0.16269579529762268,1.4767236709594727,-0.05871070921421051,0.5412219762802124,1.1917915237508776
45,0.9958348541336073,3.528160151933574,0.7134065086218904,1.218334379379426,2.0334590420914207,0.0745695359216483,-0.2037002665443151,-0.3689379163841291,0.7436905861512066,-0.9854303598403931,1.4793506860733032,0.9775060415267944,-1.4211753606796265,1.0933495196655645
46,1.0504196954782095,3.6280264205369575,0.7172685951246324,0.9649696635667461,1.961145056076102,0.10938128921462424,-0.22146017459674097,-0.4231659023332888,0.745389086349012,-1.4653598070144653,1.477158784866333,-0.9847211837768555,-0.5978258848190308,1.0094198670890617
47,1.091706109745007,3.724116384638361,0.7230058376431087,0.7230604995784315,1.8936519472718218,0.08564523916588325,-0.2610364712297271,-0.43727094058481086,0.7675535685397635,-0.35591426491737366,1.4439741373062134,0.11484572291374207,-1.3027074337005615,0.9447366562820969
48,1.1207265590057283,3.8170635382846605,0.7267372740625547,0.44556066379156944,1.8273732861665803,0.08788348000480535,-0.28378795316049765,-0.4367079814657878,0.7889073065499973,-1.2222493886947632,1.4960271120071411,0.5028929114341736,-1.2056989669799805,0.8991316535735998
49,1.1340843485119387,3.906622661537543,0.7339800459106937,0.10772971327842557,1.7625347062328733,0.21555241583026688,-0.2909191714535732,-0.3878616859266785,0.7904208201248593,-0.9884699583053589,1.4962964057922363,0.2918092608451843,-0.019754568114876747,0.876656369356432
50,1.1312062519867137,3.9936183482374052,0.7475656262231662,-0.1883715409908778,1.7251634125454927,0.30478973750636495,-0.31456616792035486,-0.35274388152444786,0.8015015075534123,-0.09857657551765442,1.3931705951690674,-0.891700267791748,-1.0557527542114258,0.8779238305832922
51,1.1155438203091517,4.079382733026928,0.7618052021725163,-0.40247732938256453,1.708601747054538,0.23234344008277624,-0.3506322031317284,-0.3549084967690516,0.8263954507447009,-1.499924898147583,1.4999955892562866,-0.4385857880115509,0.36060893535614014,0.8990548723675398
52,1.0911771690316758,4.164542250418863,0.768028598197057,-0.5564095518044583,1.7000789176430506,0.025048917427178772,-0.42319937254967205,-0.3450085460838176,0.8806737226224719,-1.2677290439605713,1.49419105052948,-0.6521093845367432,-0.16323216259479523,0.9352572837116522
53,1.0591974053254125,4.249524714588175,0.7627663388667086,-0.7131109281423608,1.7002735117664147,-0.21966818313036773,-0.5675369463343705,-0.35914931227749647,0.995165226057542,0.25679636001586914,0.8219096064567566,-0.3495996296405792,0.08427198231220245,0.9845680769804535
54,1.0171985283329459,4.334729864031717,0.7464479041123732,-0.957574717547531,1.707972549882905,-0.4125381939797191,-0.6660693198816692,-0.3650666558207796,1.070740273341565,0.6617594361305237,1.4997498989105225,0.8385582566261292,0.1315118372440338,1.0483598391509983
55,0.9609523978185902,4.420523663865267,0.721854701585019,-1.282499222741861,1.7252529147041231,-0.5406250081633615,-0.6760314373711753,-0.30365573923109684,1.1059796068332315,-0.31442150473594666,1.383223533630371,0.7033790349960327,-0.8128248453140259,1.1295890412698666
56,0.8862103262320975,4.5077875546738415,0.6943385355275162,-1.6868994865336844,1.766540860896129,-0.5286013237587603,-0.6050087955729242,-0.19782702114652168,1.1451108668638934,-0.7472787499427795,1.4999237060546875,0.9980301856994629,-1.1086052656173706,1.2312908465865775
57,0.7893903901143834,4.597765714140842,0.6739608712771824,-2.1436552763351084,1.8284812579252907,-0.2658003447394836,-0.43193592084526045,-0.11510216349668602,1.1562427406566007,0.8636239767074585,1.3929884433746338,0.06157272309064865,-0.8918811678886414,1.3561055606518306
58,0.6740579486748263,4.690311320526458,0.6679087799937704,-2.401810058328277,1.8630345015439917,-0.040435428678967156,-0.2285747165743558,-0.055596809145963245,1.1400307504133909,-1.4998929500579834,1.4999805688858032,0.26556283235549927,-1.499955415725708,1.499849985043116
59,0.5510465384127112,4.783828147968725,0.6707122328725682,-2.4918116169707347,1.8753232695539437,0.14085741717888628,-0.06694090895131481,0.006032899822130543,1.11085671772498,-0.03511027991771698,1.0627027750015259,0.4735470414161682,-1.4761193990707397,1.651554614506293
60,0.4265281610647677,4.877755789734061,0.6837074427798534,-2.474915240504207,1.8786002510356932,0.37209366152796813,0.05884514077329504,0.035540774644504315,1.0637664221911554,-0.1388513594865799,1.4998339414596558,0.9979111552238464,-0.7252870798110962,1.7858355794365646
61,0.3051828153815982,4.971156610252584,0.7093658805984095,-2.3749415618609704,1.8559217513188746,0.6400517365997441,0.14118387874615895,0.06760360053958461,1.0167472217698064,1.060520887374878,1.4999271631240845,0.3636038899421692,-0.6930916905403137,1.6370409685506102
62,0.18983040716328475,5.06328244424298,0.7445091342954931,-2.250990760174894,1.8327431500579365,0.7046627764397633,0.22244340850393343,0.13654913474014896,1.001287743087202,1.0121122598648071,1.496617078781128,-0.4830149710178375,-1.4750521183013916,1.4936019774272382
63,0.08067456524997887,5.154488988785964,0.7761318166513248,-2.1235281583611636,1.8179096932456629,0.5521975254573576,0.3465469653641233,0.2304260402374778,1.0349060816132687,-0.7302969098091125,1.3353946208953857,-0.7452958226203918,-1.2939374446868896,1.355278406519175
