Capture_ID,ODA_MAE,ODA_RMSE,HF_MAE,HF_RMSE
1,0.7780130287672482,1.5233993260897942,1.463740862940233,1.8944358953579625
2,0.7087955527497201,1.425000954850266,1.4739290619258991,1.9079190305391336
3,0.8324601835604314,1.6118975025491982,1.4476764193363367,1.8661196543540606
4,0.887011721209918,1.7045179240811243,1.4734937877566932,1.8972712756373518
5,0.912258724164034,1.8015425872676023,1.456845093349174,1.8548349451263748
6,1.0157005165945865,1.8363397298295006,1.488697345581905,1.8932470938704036
7,1.143647020339574,2.063388771193046,1.487261226088528,1.852431435695719
8,1.1281857129935398,2.0007638873412437,1.5840800295353794,1.9816698893794376
